3496;10002
11081;20002
16802;30002
23267;40001
27785;50004
35517;60002
40751;70001
46691;80001
55167;90002
60727;100002
66482;110002
70519;120001
78297;130001
84795;140001
92734;150002
97756;160001
102287;170001
109366;180001
116028;190001
123049;200001
129029;210001
134638;220002
141935;230001
145412;240001
156091;250002
163135;260002
165245;270001
174281;280001
177305;290001
182633;300002
189033;310001
193755;320001
202624;330001
208616;340001
210744;350001
221206;360001
230239;370001
235026;380001
242426;390002
244079;400002
251401;410001
261635;420002
266048;430002
271889;440002
278972;450001
286387;460001
286686;470002
293603;480001
305126;490001
308676;500002
314618;510001
322504;520002
330483;530002
335240;540002
339444;550001
347182;560001
329814;570002
360089;580001
367761;590001
370348;600001
366319;610002
369810;620002
387014;630001
383824;640001
394002;650001
397158;660001
401628;670001
369614;680001
412266;690001
421764;700001
425067;710001
430289;720001
442651;730001
452929;740002
456830;750001
465869;760001
479033;770001
489114;780001
477161;790001
484238;800013
487901;810002
496954;820001
517154;830001
520418;840001
529813;850001
536293;860001
541252;870002
549887;880001
556264;890001
561053;900002
570587;910002
567203;920002
581245;930001
570398;940001
564261;950001
564452;960002
591224;970002
597977;980001
594643;990001
604256;1000001
